Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P007_WA11,SRR17213340,Deltocephalinae,Cochlorhinini,Calonia,-,signata,Christopher H. Dietrich,1.60%,1.60%,-,27-May-2004,"USA: California, San Bernardino County, Needles, Mojave Desert",-
P007_WD03,SRR17213329,Deltocephalinae,Cochlorhinini,Gloridonus,Ballana,velosa,Christopher H. Dietrich,10.90%,10.90%,-,25-Aug-2005,"USA: California, Los Angeles County, I-5 2-3 mi. S jct. Hwy 138",-
P009_WD06,SRR17212827,Deltocephalinae,Cochlorhinini,Eulonus,-,almus,Christopher H. Dietrich,5.90%,5.90%,-,20-May-2013/25-May-2013,"USA: Arizona, Gila Co., 21 km S Globe",1375m
P011_WG11,SRR17212816,Deltocephalinae,Cochlorhinini,Gloridonus,Ballana,ortha,James N. Zahniser,5.80%,5.80%,-,15-Aug-1996,"USA: Wyoming, Albany County, Jct. Rts. 130 & 230",-
P015_WG01,SRR17213319,Deltocephalinae,Cochlorhinini,Gloridonus,Ballana,callidus,Christopher H. Dietrich,5.10%,5.10%,-,24-Aug-2005,"USA: California, San Diego County, Laguna Mountains, Cibbets Flat Campground",1267m
P015_WG11,SRR17213308,Deltocephalinae,Cochlorhinini,Gloridonus,Ballana,angula,James N. Zahniser,4.80%,4.80%,-,24-Apr-1998,"USA: California, Riverside County, Rt. 371 1 mi. E jct. 79",-
P003_WE12,SRR17213297,Deltocephalinae,Scaphytopiini,Scaphytopius,Scaphytopius,n.sp.,Christopher H. Dietrich,1.70%,1.70%,-,25-Oct-2002,"Peru: Huanuco, 5km S Tingo Maria",600m
P004_WA12,SRR17213382,Deltocephalinae,Scaphytopiini,Scaphytopius,Cloanthanus,frontalis,James N. Zahniser,4.60%,4.60%,-,04-Jun-2006,"USA: Maryland, Little Orleans",-
P005_WF10,SRR17213371,Deltocephalinae,Scaphytopiini,Scaphytopius,Fundarus,n.sp.,Christopher H. Dietrich,7.80%,7.80%,-,20-Oct-2002,"Peru: Junin, Alto Yurinaqui",850m
P007_WA07,SRR17212990,Deltocephalinae,Scaphytopiini,Scaphytopius,Cloanthanus,sulphureus,Christopher H. Dietrich,3.80%,3.80%,-,17-Oct-2002,"Peru: Junin, San Ramon",800m
P007_WG10,SRR17212979,Deltocephalinae,Scaphytopiini,Scaphytopius,Cloanthanus,acutus,Christopher H. Dietrich,4.20%,4.20%,-,21-Jun-2017,"USA: Illinois, Sand Ridge State Forest, Turkey Pass Picnic Area",165m
P012_WE12,SRR17212800,Deltocephalinae,Scaphytopiini,Scaphytopius,Scaphytopius,n.sp.BR1,Christopher H. Dietrich,4.50%,4.50%,-,24-Mar-2016,"Brazil: Roraima, Reserva Maraca",118m
P012_WF01,SRR17212788,Deltocephalinae,Scaphytopiini,Scaphytopius,Cloanthanus,dilatus,Christopher H. Dietrich,3.60%,3.60%,-,23-Mar-2016,"Brazil: Roraima, Reserva Maraca",118m
P012_WF03,SRR17213291,Deltocephalinae,Scaphytopiini,Scaphytopius,Cloanthanus,n.sp.,Christopher H. Dietrich,3.20%,3.20%,-,30-Mar-2016,"Brazil: Roraima, Serra do Tepequem",616m
P012_WF09,SRR17213280,Deltocephalinae,Scaphytopiini,Scaphytopius,-,sp.2,Christopher H. Dietrich,5.50%,5.50%,-,12-Apr-2019,"Mexico: Chiapas, Palenque, Profesor Roberto Barrios",157m
P012_WH11,SRR17212971,Deltocephalinae,Scaphytopiini,Scaphytopius,-,sp.1,Christopher H. Dietrich,3.80%,3.80%,-,13-Apr-2019,"Mexico: Chiapas, Palenque",180m
P002_WA08,SRR17212970,Deltocephalinae,Faltalini,Clorindaia,-,cyphora,Christopher H. Dietrich,4.90%,4.90%,-,10-Jan-2008,"Argentina: Chaco, Parque Nacional Chaco",70m
P002_WD04,SRR17212969,Deltocephalinae,Faltalini,Hecullus,-,bracteatus,Christopher H. Dietrich,2.50%,2.50%,-,26-Apr-2015/02-May-2015,"USA: Arizona, Gila County",1480m
P003_WE10,SRR17212968,Deltocephalinae,Faltalini,Virganana,-,n.sp.,Christopher H. Dietrich,4.50%,4.50%,grasses,17-Jan-2014,"Chile: Araucania, Chanelo jct. nr. Parque Nacional Nahuelbuta",-
P003_WG10,SRR17212967,Deltocephalinae,Faltalini,Tenucephalus,-,sp.,Christopher H. Dietrich,4.40%,4.30%,-,03-Nov-2017,"Mexico: Jalisco, Autlan de Navarro, Reserva de la Biosfera Sierra de Manantlan",1651m
P004_WB02,SRR17212966,Deltocephalinae,Faltalini,Faltala,-,n.sp.1,James N. Zahniser,17.20%,17.20%,-,24-Jan-2008,"Argentina: Entre Rios, rt 14 km 43",20m
P004_WG02,SRR17212965,Deltocephalinae,Faltalini,Kramerana,-,junina,James N. Zahniser,2.30%,2.30%,-,17-Oct-2002,"Peru: Junin,3 km W Curipata",3800m
P006_WB08,SRR17212963,Deltocephalinae,Faltalini,n.gen.,-,sp.,Christopher H. Dietrich,3.40%,3.40%,-,13-Mar-2015,"Brazil: Minas Gerais, Santuario do Caraca, Lobo Guara Trail",1280m
P009_WD12,SRR17212962,Deltocephalinae,Faltalini,Tenucephalus,-,n.sp.,Christopher H. Dietrich,5.80%,5.80%,-,03-May-2004,"Peru: Madre de Dios, Tambopata Research Center",190m
P011_WB08,SRR17212961,Deltocephalinae,Faltalini,Kramerana,-,n.sp.,Christopher H. Dietrich,2.70%,2.70%,-,13-Feb-2014,"Argentina: Entre Rios, Parque Nacional El Palmar, Mirador Los Loros",-
P014_WD08,SRR17212960,Deltocephalinae,Faltalini,Tenucephalus,-,n.sp.3,James N. Zahniser,6.60%,6.60%,-,05-Oct-1995,"Brasil: Goias, Serra da Mesa ",-
P015_WB03,SRR17212959,Deltocephalinae,Faltalini,Tenucephalus,-,n.sp.BR1,Christopher H. Dietrich,4.50%,4.50%,-,13-Mar-2015,"Brazil: Minas Gerais, Santuariodo Caraca",1300m
P001_WA11,SRR17212958,Deltocephalinae,Acostemmini,Acostemma,-,marginale,Christopher H. Dietrich,8.00%,8.00%,-,09-Nov-2008/24-Nov-2008,"Madagascar: Fianarantsoa Prov., Ranomafana National Park",-
P004_WA01,SRR17212957,Deltocephalinae,Acostemmini,Ikelibeloha,-,cristata,James N. Zahniser,17.40%,17.40%,-,19-Mar-2001,"Madagascar, Diego Suarez Parque Nacional, Montagne d'Ambre",960m
P004_WC03,SRR17212956,Deltocephalinae,Acostemmini,Iturnoria,-,insulana,James N. Zahniser,12.10%,12.10%,-,08-Dec-2004,Madagascar: Antsiranana,150m
P004_WD04,SRR17212955,Deltocephalinae,Acostemmini,Eryapus,-,sp.,James N. Zahniser,5.60%,5.60%,-,12-Jan-2002/16-Jan-2002,"Madagascar: Toliaran Prov., Parc National d'Andohahela",150m
P009_WA08,SRR17212954,Deltocephalinae,Acostemmini,Eryapus,-,n.sp.1,Christopher H. Dietrich,45.60%,45.50%,-,08-Feb-2002/15-Feb-2002,"Madagascar: Tulear Prov., Beza Mahafaly Reserve, Parcelle I near research station",165m
P009_WF02,SRR17212952,Deltocephalinae,Acostemmini,Malicia,-,n.sp.,Christopher H. Dietrich,21.90%,21.90%,-,18-Jan-2014,Madagascar,-
P009_WF09,SRR17212951,Deltocephalinae,Acostemmini,n.gen.,-,sp.,Christopher H. Dietrich,10.40%,10.40%,-,17-May-2007/26-May-2007,"Madagascar: Majunga, Ambovomamy Belambo 20km NW Port Berger",33m
P011_WA06,SRR17212950,Deltocephalinae,Acostemmini,Acostemma,-,n.sp.,Christopher H. Dietrich,7.90%,7.90%,-,07-Nov-2008/24-Nov-2008,"Madagascar: Fianarantsoa Prov., Rt. 12, between Infanadiana Village and Kianjavato Village",-
P014_WF05,SRR17213271,Deltocephalinae,Acostemmini,n.gen.,-,n.sp.,Christopher H. Dietrich,3.80%,3.90%,-,23-Jul-2009/02-Aug-2009,"Madagascar: Tulear, Vitambany Forest 5 mk N Ampotaka",86m
P001_WA12,SRR17213270,Deltocephalinae,Phlepsiini,Korana,-,rorulenta,Christopher H. Dietrich,8.10%,8.10%,-,10-Nov-2007,"Zambia: Copperbelt Prov., Kitwe District, Greystone Farm (Fishers Farm)",1247m
P001_WC01,SRR17213269,Deltocephalinae,Phlepsiini,Texananus,Texananus,ovatus,Christopher H. Dietrich,3.50%,3.50%,-,29-Oct-2005,"Mexico: Coahuila, Huachichil rd. 2km E rt.54",1970m
P001_WC04,SRR17213268,Deltocephalinae,Phlepsiini,Excultanus,-,dorothyae,Christopher H. Dietrich,7.10%,7.10%,-,22-Oct-2005,"Mexico: Zacatecas, rt.270 14.9km, NW Tabasco",2000m
P004_WA08,SRR17213267,Deltocephalinae,Phlepsiini,Excultanus,-,conus,James N. Zahniser,6.20%,6.20%,-,05-Nov-2001,Mexico: Chiapas,1000m
P004_WF01,SRR17213266,Deltocephalinae,Phlepsiini,Phlepsius,-,intricatus,James N. Zahniser,7.60%,7.60%,-,19-Aug-1998,"Kyrgyzstan: Dzalal-Abad, At-Ojnoksky Mt. Ridge, Kurpsaj Ravine",924m
