Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P011_WA08,SRR17213063,Deltocephalinae,Drabescini,Dryadomorpha,-,n.sp.A,Christopher H. Dietrich,3.90%,3.90%,-,01-Nov-2007,"Zambia: Copperbelt Prov., ~12 km SSE of KitweKumasamba Lodge",1151m
P011_WA09,SRR17213062,Deltocephalinae,Drabescini,Dryadomorpha,-,n.sp.B,Christopher H. Dietrich,3.60%,3.60%,-,30-Oct-2007/14-Nov-2007,"Zambia: Copperbelt Prov., Kitwe District, Kumasamba Lodge nr. Kafue River",-
P011_WB10,SRR17213061,Deltocephalinae,Drabescini,Drabescus,-,n.sp.,Christopher H. Dietrich,4.50%,4.50%,-,08-Jan-2008,"Solomon Islands: Western Province, Kolombangara Island",421m
P011_WC07,SRR17213060,Deltocephalinae,Drabescini,Kutara,-,tenuipenis,Christopher H. Dietrich,4.40%,4.40%,-,29-May-2012,"Vietnam: Vinh Phuc, Tam Dao National Park",-
P011_WC08,SRR17213058,Deltocephalinae,Drabescini,Roxasella,-,n.sp.2,Christopher H. Dietrich,3.20%,3.20%,-,29-May-2012,"Vietnam: Vinh Phuc, Tam Dao National Park",-
P012_WD01,SRR17213057,Deltocephalinae,Drabescini,Roxasella,-,n.sp.,Christopher H. Dietrich,4.60%,4.60%,-,23-Apr-2012,Philippines: E side of Mt Hamiguitan,62m
P014_WB06,SRR17213056,Deltocephalinae,Drabescini,Kutara,-,sinensis,Christopher H. Dietrich,5.70%,5.70%,-,18-Sep-2017,"China: Guangxi, ca. Chongzao Shizitou Forest Park",400m
P014_WC01,SRR17213055,Deltocephalinae,Drabescini,Bhatia,-,javana,Christopher H. Dietrich,3.00%,3.00%,-,04-Dec-2011,"Australia: Northern Territory, Gunn Point Area NE Darwin",-
P014_WE03,SRR17213054,Deltocephalinae,Drabescini,Kutara,-,n.sp.ML1,Christopher H. Dietrich,5.20%,5.20%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P015_WG07,SRR17213053,Deltocephalinae,Drabescini,Kutara,-,trispinosa,Christopher H. Dietrich,4.80%,4.80%,-,12-Jul-2019,"Vietnam: Vinh Phuc, Tam Dao",-
P015_WH08,SRR17213052,Deltocephalinae,Drabescini,Hybrasil,-,brani,Christopher H. Dietrich,11.60%,11.60%,-,25-Aug-2003,"Fiji: Kadavu Isl., Golodamu",128m
P002_WA11,SRR17213051,Deltocephalinae,Opsiini,Hishimonus,-,compactus,Christopher H. Dietrich,10.20%,10.20%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park",-
P002_WC01,SRR17213050,Deltocephalinae,Opsiini,Paralampridius,-,truncatus,Christopher H. Dietrich,5.50%,5.50%,-,19-Mar-2007/26-Mar-2007,"Thailand: Chaiyaphum, Tat Tone National Park, Oficer house at Tat Fah waterfall",242m
P002_WC09,SRR17213049,Deltocephalinae,Opsiini,Orosius,-,pallidus,Christopher H. Dietrich,6.50%,6.50%,-,14-Feb-2008,"Australia: Queensland, Barkly Hwy rest area 60 km E Mt. Isa",-
P002_WD03,SRR17213047,Deltocephalinae,Opsiini,Opsius,-,stactogalus,Christopher H. Dietrich,3.50%,3.40%,-,08-May-2014/14-May-2014,"USA, Arizona, Maricopa County",425m
P002_WF12,SRR17213046,Deltocephalinae,Opsiini,Pseudophlepsius,-,binotatus,Christopher H. Dietrich,3.80%,3.70%,-,2-Jul-1999,"Kyrgyzstan: Naryn, Karajudzhur, R. 5km N Sary-Bulak",-
P002_WG09,SRR17212877,Deltocephalinae,Opsiini,Dixianus,-,utahnus,Christopher H. Dietrich,5.00%,5.00%,-,10-Mar-2016/30-Mar-2016,"USA: Arizona, La Paz County, Quartzsite, I-10 at Gold Nugget Road",-
P002_WH02,SRR17212876,Deltocephalinae,Opsiini,Paralampridius,-,rotundatus,Christopher H. Dietrich,7.20%,7.20%,-,02-May-2007/09-May-2007,"Thailand: Ubon Ratchathani, Pha Taem National Park, First level-Huay Sanhom waterfall",-
P002_WH03,SRR17212875,Deltocephalinae,Opsiini,Alishania,-,formosana,Christopher H. Dietrich,3.80%,3.80%,-,15-Jun-2004,"China: Taiwan, Nantou Yuanfeng, Rt.14 km",-
P003_WA08,SRR17212874,Deltocephalinae,Opsiini,Neoaliturus,-,carbonarius,Christopher H. Dietrich,6.50%,6.50%,-,13-Jul-2000,"Kyrgyzstan: Dzhalal-Abad, 10 km W Dzhalal-Abad",-
P003_WA12,SRR17212873,Deltocephalinae,Opsiini,Japananus,-,hyalinus,Christopher H. Dietrich,5.90%,5.90%,-,07-Sep-2015,"Switzerland: Canton Ticino, Arzo",-
P003_WF11,SRR17212872,Deltocephalinae,Opsiini,Lycioides,-,sp.,Christopher H. Dietrich,2.50%,2.50%,-,10-Mar-2016/30-Mar-2016,"USA: Arizona, Maricopa County, 12 km E Quartzsite, I-10 at Gold Nugget Road",-
P004_WB03,SRR17212871,Deltocephalinae,Opsiini,Masiripius,-,lugubris,James N. Zahniser,26.90%,26.80%,-,11-Mar-2008/15-Mar-2008,"India: Rajasthan, Jodhpur, 10 km SW Jodhpur, Machia Safari Park",-
P004_WC10,SRR17212870,Deltocephalinae,Opsiini,Nesophrosyne,-,maritima,James N. Zahniser,5.60%,5.60%,-,26-May-2007,"USA: Hawaii, Oahu, road to Mt. Kaala summit",-
P005_WF06,SRR17212868,Deltocephalinae,Opsiini,Hishimonus,-,aberrans,Christopher H. Dietrich,3.40%,3.30%,-,18-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park",-
P005_WG12,SRR17212867,Deltocephalinae,Opsiini,Hishimonoides,-,recurvatis,Christopher H. Dietrich,0.90%,0.90%,bamboo,17-Jul-2018,"China: Shaanxi, Yangling, Northwest A&F University Campus",478m
P006_WD03,SRR17212866,Deltocephalinae,Opsiini,n.gen.T1,-,n.sp.1,Christopher H. Dietrich,6.20%,6.20%,-,07-Oct-2007/14-Oct-2007,"Thailand: Chiang Mai, Doi Chiang Dao WS Nature trail",491m
P006_WE04,SRR17212865,Deltocephalinae,Opsiini,n.gen.ZA1,-,n.sp.1,Christopher H. Dietrich,2.50%,2.50%,-,01-Nov-2007,"Zambia: Northwestern Prov., ~11km SW Mwinilunga, Nkunyi Local Forest",-
P006_WH12,SRR17212864,Deltocephalinae,Opsiini,Libengaia,-,n.sp.,Christopher H. Dietrich,3.60%,3.60%,-,07-Jun-2005,"Ghana: Western Region, Ankasa Resource Reserve, Nkwanta Camp",-
P007_WA06,SRR17212863,Deltocephalinae,Opsiini,Kirkaldiella,-,n.sp.PH1,Christopher H. Dietrich,3.30%,3.30%,-,09-May-2012,"Philippines: Initao National Park, Misamis Oriental, W of Cagayan do Oro",-
P007_WC04,SRR17212862,Deltocephalinae,Opsiini,n.gen.T3,-,n.sp.1,Christopher H. Dietrich,5.60%,5.60%,-,17-Mar-2008/24-Mar-2008,"Thailand: Chiang Mai, Doi Chiang Dao WS Nature trail",491m
P008_WD05,SRR17212861,Deltocephalinae,Opsiini,Navaia,-,filicicola,Christopher H. Dietrich,14.90%,14.90%,-,21-Oct-2003/18-Nov-2003,"Fiji: Viti Levu Island, Vuda Prov., Koroyanitu National Heritage Park, Savuione Trail",450m
P008_WD10,SRR17212860,Deltocephalinae,Opsiini,n.gen.ML1,-,n.sp.1,Christopher H. Dietrich,12.10%,12.10%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P008_WG03,SRR17212859,Deltocephalinae,Opsiini,n.gen.T2,-,n.sp.1,Christopher H. Dietrich,3.80%,3.80%,-,26-Jul-2006/02-Aug-2006,"Thailand: Khonkaen, Nam Pong National Park office",344m
P009_WB05,SRR17212856,Deltocephalinae,Opsiini,Satsumanus,-,n.sp.,Christopher H. Dietrich,12.60%,12.60%,-,25-Aug-2003,"Fiji: Kadavu Isl., 0.25km SW Golodamu, Moanakaka Bird Sanctuary",60m
P009_WC02,SRR17212855,Deltocephalinae,Opsiini,n.gen.CB1,-,n.sp.,Christopher H. Dietrich,6.90%,6.90%,-,09-Dec-2016/15-Dec-2016,"Cambodia: Rtanakiri, Veun Sai Dist, Veun Sai-Siem Pang National Park",97m
P009_WC03,SRR17212854,Deltocephalinae,Opsiini,Kirkaldiella,-,n.sp.FI1,Christopher H. Dietrich,6.70%,6.70%,-,23-Oct-2003,"Fiji: Kadavu Isl., Golodamu",128m
P009_WD02,SRR17213189,Deltocephalinae,Opsiini,Kirkaldiella,-,n.sp.FI2,Christopher H. Dietrich,9.10%,9.10%,-,13-Feb-2004,"Fiji: Viti Levu Isl., Naitasiri, Naval Village, Eteni",-
P009_WD11,SRR17213188,Deltocephalinae,Opsiini,Navaia,-,n.sp.,Christopher H. Dietrich,5.70%,5.70%,-,31-Jul-2004,"Fiji: Taevuni, Cakaudrova, 5.3 km SE Tavuki, Mt. Devo",1064m
P009_WE09,SRR17213187,Deltocephalinae,Opsiini,Paralampridius,-,sinuatus,Christopher H. Dietrich,8.80%,8.80%,-,19-Jan-2009/26-Jan-2009,"Thailand: Nakhon Si Thammarat, Namtok Yong National Park, Klong Jang waterfall",154m
P009_WF05,SRR17213186,Deltocephalinae,Opsiini,Hishimonus,-,viraktamathi,Christopher H. Dietrich,19.30%,19.20%,-,02-Oct-2005,"India: Maharashtra, Pune District, 5 km E Mulshi Lake near Tamini Village",-
P009_WF08,SRR17213185,Deltocephalinae,Opsiini,Neoaliturus,-,angulatus,Christopher H. Dietrich,26.80%,26.80%,-,01-Oct-2004/23-Oct-2004,"South Africa: Western Cape, 7 km E Ladismith",520m
P009_WF11,SRR17213184,Deltocephalinae,Opsiini,Orosius,-,argentatus,Christopher H. Dietrich,7.60%,7.60%,-,23-Apr-2003/04-May-2003,"Australia: Western Australia, Karjini National Park, Dale Gorge Road",668m
P011_WC03,SRR17213183,Deltocephalinae,Opsiini,Neoaliturus,Circulifer,tenellus,Christopher H. Dietrich,3.40%,3.40%,-,09-May-2014/14-May-2014,"USA: California, Kern County, Weldon",810m
P011_WF08,SRR17213181,Deltocephalinae,Opsiini,Hishimonus,-,phycitis,James N. Zahniser,3.10%,3.00%,-,10-Jun-2004,"China: Taiwan, Taipei, Fushan Forest Res. Sta.",500m
P011_WG05,SRR17213180,Deltocephalinae,Opsiini,Orosius,-,orientalis,James N. Zahniser,3.70%,3.70%,-,10-Jan-2011,"Australia: New South Wales, ~80 km N. Broken Hill",-
P012_WB06,SRR17213179,Deltocephalinae,Opsiini,n.gen.ZA2,-,n.sp.1,Christopher H. Dietrich,6.90%,6.90%,-,07-Nov-2007,"Zambia: Northwestern Prov., ~11km SW Mwinilunga, Nkunyi Local Forest",-
P012_WC04,SRR17213178,Deltocephalinae,Opsiini,Hishimonus,-,hamatus,Christopher H. Dietrich,4.60%,4.60%,-,07-Sep-2015,"Switzerland: Canton Ticino, Arzo",-
P012_WC07,SRR17213177,Deltocephalinae,Opsiini,Orosius,-,albicinctus,Christopher H. Dietrich,3.20%,3.10%,-,10-Apr-2013,"Tanzania: Dodoma Region, N Makulu",844m
P012_WE07,SRR17213176,Deltocephalinae,Opsiini,Hishimonoides,-,denticulateus,Christopher H. Dietrich,2.90%,2.90%,-,19-Sep-2008/26-Sep-2008,"Thailand: Petchaburi, Kaeng Krachan National Park",970m
P014_WE04,SRR17213175,Deltocephalinae,Opsiini,Hishimonus,-,n.sp.ML1,Christopher H. Dietrich,9.90%,9.90%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P014_WF03,SRR17213174,Deltocephalinae,Opsiini,Hishimonus,-,pallidus,Christopher H. Dietrich,5.00%,5.00%,-,14-Jan-2007/21-Jan-2007,"Thailand: Ubon Ratchathani, Pha Taem National Park, Rong Hi",246m
P015_WB11,SRR17213173,Deltocephalinae,Opsiini,Austrimonus,-,apicalis,Christopher H. Dietrich,7.40%,7.30%,-,27-Feb-2015,"Australia: Queensland, ca. MalandaRose Gum Retreat",750m
P015_WB12,SRR17213172,Deltocephalinae,Opsiini,Orosius,-,canberrensis,Christopher H. Dietrich,8.70%,8.60%,-,21-Feb-2015,"Australia: Queensland, Brisbane, Mt. Coot-thaReservoir Trail",194m
P015_WE08,SRR17213170,Deltocephalinae,Opsiini,Hishimonus,-,fuscomaculatus,Christopher H. Dietrich,2.80%,2.80%,bamboo,17-Jul-2018,"China: Shaanxi, Yangling, Northwest A&F University Campus",478m
P015_WF01,SRR17213169,Deltocephalinae,Opsiini,Neoaliturus,Neoaliturus,fenestratus,Christopher H. Dietrich,7.00%,7.00%,on herbaceous wild understory in vineyards,14-Jul-2017,"Italy: Stadio-Laimburg, Province of Bolzano, South Tyrol",-
P015_WG06,SRR17213168,Deltocephalinae,Opsiini,Alishania,-,fodingensis,Christopher H. Dietrich,3.40%,3.40%,-,12-Jul-2012,"China: Shaanxi, 8km ENE Chenhexiang",660m
P015_WH06,SRR17213167,Deltocephalinae,Opsiini,Neoaliturus,Circulifer,opacipennis,Christopher H. Dietrich,7.10%,7.00%,-,15-Jul-2000,Kyrgyzstan: Juncion of Kokerim and Kugart Rivers,-
P002_WA09,SRR17213166,Deltocephalinae,Chiasmini,Gurawa,-,minorcephala,Christopher H. Dietrich,4.70%,4.70%,-,05-Jul-2012,"China: Shaanxi, Qinling Mountains, nr. Huoditang",-
P002_WB01,SRR17213463,Deltocephalinae,Chiasmini,Nephotettix,-,nigropictus,Christopher H. Dietrich,9.30%,9.30%,-,21-Apr-2012,Philippines: Banauan Brgy. Bacnuten,-
P002_WE12,SRR17213462,Deltocephalinae,Chiasmini,Exitianus,-,exitiosus,Christopher H. Dietrich,4.30%,4.30%,-,27-Oct-2005,"Mexico: Durango, rt.45 km 100 ca. San Juan del Rio",-
P003_WH07,SRR17213461,Deltocephalinae,Chiasmini,Chiasmus,-,translucidus,Christopher H. Dietrich,3.30%,3.30%,-,08-Aug-2018,"France: Corsica, Montans",-
P004_WA03,SRR17213460,Deltocephalinae,Chiasmini,Athysanella,Gladionura,argenteola,James N. Zahniser,8.10%,8.10%,-,11-Sep-1994,"USA: Arizona, Santa Cruz County",-
P004_WB12,SRR17213459,Deltocephalinae,Chiasmini,Listrophora,-,styx,James N. Zahniser,5.30%,5.30%,-,8-Apr-2011,"South Africa: Mpumalanga Prov., Skurweberg Pass",-
P004_WE08,SRR17213457,Deltocephalinae,Chiasmini,Protochiasmus,-,mysticus,James N. Zahniser,7.60%,7.50%,-,30-May-1996,"Brasil: Goias, Uruacu",-
P004_WG04,SRR17213456,Deltocephalinae,Chiasmini,Icaia,-,antera,James N. Zahniser,9.00%,9.00%,-,08-Oct-2009/15-Oct-2009,"Peru: Ancash Region, 7 km E Carhuaz, Pampamarca",-
P004_WG05,SRR17213455,Deltocephalinae,Chiasmini,Omaranus,-,typicus,James N. Zahniser,25.40%,25.40%,Tiger grass,08-Jul-1967,India: Pantnagar,-
P004_WG07,SRR17213454,Deltocephalinae,Chiasmini,Picchusteles,-,inca,James N. Zahniser,5.90%,5.80%,-,23-Oct-2002,"Peru: Pasco, 7km W Paucartambo",3400m
P004_WG08,SRR17213453,Deltocephalinae,Chiasmini,Zahniserius,-,cylindricus,James N. Zahniser,7.00%,7.00%,-,15-Jul-2001,"China: Yunnan, Zhongdian",3150
P004_WG09,SRR17213452,Deltocephalinae,Chiasmini,Leofa,Prasutagus,pulchella,James N. Zahniser,8.70%,8.70%,-,16-Oct-.2006,"India: Carnataka, Chintamani",-
P004_WG10,SRR17213451,Deltocephalinae,Chiasmini,Leofa,Tortotettix,dispar,James N. Zahniser,8.60%,8.50%,-,27-Dec-2004,"South Africa: KwaZulu-Natal Prov., Arthurs Seat hill",1583m
P004_WG11,SRR17213450,Deltocephalinae,Chiasmini,Leofa,Edmundiana,kumasamba,James N. Zahniser,3.10%,3.10%,-,19-Apr-2006/01-May-2006,"Zambia: Copperbelt Prov., Kalulushi District, Chembe Bird Sanctuary",-
P004_WG12,SRR17213449,Deltocephalinae,Chiasmini,Athysanella,Brachydella,abdominalis,James N. Zahniser,3.80%,3.80%,-,25-Oct-2005,"Mexico: Durango, Rt. 40 km 31 W Durango",2090m
P004_WH01,SRR17213448,Deltocephalinae,Chiasmini,Doratura,Doratura,stylata,James N. Zahniser,5.90%,5.80%,-,26-Jun-2005,"USA: Michigan, Eaton County, Olivet",-
P004_WH02,SRR17213446,Deltocephalinae,Chiasmini,Athysanella,Athysanella,deserta,James N. Zahniser,4.80%,4.80%,-,28-Apr-1998,"USA: Nevada, Washoe County, Rt. 385 1 mi SE Bordertown",1533m
P004_WH03,SRR17213445,Deltocephalinae,Chiasmini,Leofa,Leofa,thompsoni,James N. Zahniser,4.10%,4.10%,-,17-Jan-2004,"Rwanda: Umutara Pr., Gabira Dist., Rwabiharamba",-
P004_WH04,SRR17213444,Deltocephalinae,Chiasmini,Aconurella,-,prolixa,James N. Zahniser,9.60%,9.60%,-,12-Dec-2004,"South Africa: Western Cape Prov., Leipzig Farm",314m
P004_WH05,SRR17213443,Deltocephalinae,Chiasmini,Athysanella,Pedumella,recurvata,James N. Zahniser,6.80%,6.80%,-,26-Apr-1998,"USA: California, San Bernardino County, 2.5 mi NW Cima",1372m
P004_WH06,SRR17213442,Deltocephalinae,Chiasmini,Athysanella,Pectinapyga,texana,James N. Zahniser,9.00%,8.90%,-,18-Apr-1998,"USA: Texas, Uvalde Co. jct Rt. 83 & 127 592 m",-
P004_WH07,SRR17213441,Deltocephalinae,Chiasmini,Athysanella,Diphipyga,mexicana,James N. Zahniser,4.50%,4.50%,-,23-Oct-2001,"Mexico: Hidalgo, rt.45 SE Actopan",2300m
P004_WH08,SRR17213440,Deltocephalinae,Chiasmini,Aconura,Aconura,volgensis,James N. Zahniser,4.50%,4.50%,-,03-Jul-1999,"Kyrgyzstan: Issyk-Kul, 5 km NNW Karasaj",3530m
P004_WH09,SRR17213045,Deltocephalinae,Chiasmini,Doraturopsis,Doraturopsis,heros,James N. Zahniser,5.30%,5.30%,-,29-Aug-1998,"Kyrgyzstan: Naryn, Alabuga River 25 km W Baetovo",1700m
P004_WH10,SRR17213044,Deltocephalinae,Chiasmini,Athysanella,Acamella,tamara,James N. Zahniser,9.40%,9.30%,-,13-Oct-2001,"Mexico: Jalisco, 13km ESE Tuxcacuesco",900m
P004_WH11,SRR17213043,Deltocephalinae,Chiasmini,Exitianus,-,obscurinervis,James N. Zahniser,2.90%,2.90%,-,23-Oct-2002,"Peru: Huanuco, 30 km S Tingo Maria",-
P004_WH12,SRR17213041,Deltocephalinae,Chiasmini,Driotura,-,gammaroides,James N. Zahniser,2.90%,2.90%,-,20-Apr-2003,"USA: New Mexico, McKinley County, Rt 400 ca. 5mi S Ft Wingate",-
P005_WE01,SRR17213040,Deltocephalinae,Chiasmini,Nephotettix,-,afer,Christopher H. Dietrich,2.30%,2.30%,-,09-Nov-2008/24-Nov-2008,"Madagascar: Berenty Reserve, W of Fort Dauphin, riverine forest",-
P005_WE04,SRR17213039,Deltocephalinae,Chiasmini,Athysanella,Amphipyga,acuticauda,Christopher H. Dietrich,6.70%,6.70%,-,19-May-2004,"USA: Montana, Jefferson County, Homestake FR222 1mi N 1-90",1968m
P005_WE10,SRR17213038,Deltocephalinae,Chiasmini,Aconurella,-,sibirica,Christopher H. Dietrich,3.50%,3.50%,-,20-Jul-2005,"Mongolia: Selenge Aimag Hovgol, Soum Buren [Moron]",1277m
P005_WH09,SRR17213037,Deltocephalinae,Chiasmini,Stenogiffardia,-,graminea,Christopher H. Dietrich,3.10%,3.10%,-,19-Feb-2006,"South Africa: Gauteng, Pretoria, Riptfontein Dam",-
P007_WD11,SRR17213036,Deltocephalinae,Chiasmini,Aconurella,-,compta,Christopher H. Dietrich,15.20%,15.10%,grasses,20-Apr-2013,"Tanzania: Morogoro Region, 8 km SE Mbuyuni",536m
P007_WE12,SRR17213035,Deltocephalinae,Chiasmini,Athysanella,Gladionura,achena,Christopher H. Dietrich,6.20%,6.20%,-,20-Oct-2005,"Mexico: Mexico, 5.4 km SE San Simon de Guerrero",2200m
P007_WH04,SRR17213034,Deltocephalinae,Chiasmini,Chiasmus,-,varicolor,Christopher H. Dietrich,6.30%,6.20%,-,15-Dec-2004,"South Africa: Western Cape Prov., Du Toitskloof Pass summit",844m
P011_WE02,SRR17213033,Deltocephalinae,Chiasmini,Athysanella,Gladionura,alsa,James N. Zahniser,9.70%,9.60%,-,06-Sep-1994,"USA: New Mexico, Colfax County, Rt. 64 at Crow Creek",-
P011_WE03,SRR17213032,Deltocephalinae,Chiasmini,Athysanella,Athysanella,strobila,James N. Zahniser,7.90%,7.90%,-,28-Apr-1998,"USA: California, Lassen County, Doyle",1379m
P011_WE04,SRR17213030,Deltocephalinae,Chiasmini,Exitianus,-,luctuosus,James N. Zahniser,5.90%,5.90%,-,28-Oct-2002,"Peru: Huanuco, 13 km S Ambo",2350m
P011_WE05,SRR17213029,Deltocephalinae,Chiasmini,Exitianus,-,mucronatus,James N. Zahniser,6.30%,6.30%,-,21-Feb-2002/25-Feb-2002,"Madagascar: Toliara Prov., Mahafaly Plateau",80m
P011_WE06,SRR17213028,Deltocephalinae,Chiasmini,Nephotettix,-,modulatus,James N. Zahniser,3.30%,3.30%,-,12-Jan-2002/16-Jan-2002,"Madagascar: Toliara Prov., Parc National d'Andohahela",-
P011_WE07,SRR17213027,Deltocephalinae,Chiasmini,Doratura,Doraturina,concors,James N. Zahniser,6.70%,6.80%,-,20-Jun-1999,"Kyrgyzstan: Dzhalal-abad, Chandalash, R. 6 km N jct Chatkal R.",1630m
P011_WE08,SRR17213026,Deltocephalinae,Chiasmini,Exitianus,-,natalensis,James N. Zahniser,4.90%,4.90%,-,25-Dec-2004,South Africa: KwaZulu-Natal Prov. Bulwer mountain,1802m
P011_WE09,SRR17213025,Deltocephalinae,Chiasmini,Exitianus,-,capicola,James N. Zahniser,9.10%,9.10%,-,08-Dec-2004,South Africa: Western Cape Prov. Sweetwater,4.69m
P011_WE10,SRR17213024,Deltocephalinae,Chiasmini,Exitianus,-,turneri,James N. Zahniser,5.80%,5.70%,-,17-Jan-2004,"Rwanda: Rukara Dist., Kawangure; Lake Mubazi",-
P011_WE11,SRR17213023,Deltocephalinae,Chiasmini,Athysanella,Gladionura,carsia,James N. Zahniser,5.80%,5.70%,-,22-Oct-2001,"Mexico: Hidalgo, rt.45 km #54",2180m
P011_WE12,SRR17213022,Deltocephalinae,Chiasmini,Athysanella,Amphipyga,major,James N. Zahniser,4.40%,4.30%,-,23-Apr-1998,"USA: California, San Diego County, Kitchen Creek Road",1646m
P011_WF01,SRR17213021,Deltocephalinae,Chiasmini,Exitianus,-,ghaurii,James N. Zahniser,8.20%,8.10%,-,27-Dec-2004,South Africa: KwaZulu-Natal Prov.  Arthurs Seat hill,1583m
P011_WF02,SRR17213019,Deltocephalinae,Chiasmini,Chiasmus,-,undulatus,James N. Zahniser,5.20%,5.20%,-,27-Dec-2004,South Africa: KwaZulu-Natal Prov.  Arthurs Seat hill,1583m
P011_WF03,SRR17213018,Deltocephalinae,Chiasmini,Athysanella,Diphipyga,n.sp.,James N. Zahniser,3.70%,3.70%,-,25-Jul-2006,"USA: Colorado, Pueblos County, between Pueblo & Penrose on Stone City Road",-
P011_WF04,SRR17213017,Deltocephalinae,Chiasmini,Exitianus,-,plebeius,James N. Zahniser,7.40%,7.30%,-,13-Jan-2004,"Australia: Queensland, 12km E. of Innot Hot Springs",-
P011_WF05,SRR17213016,Deltocephalinae,Chiasmini,Leofa,Leofa,truncata,James N. Zahniser,8.60%,8.50%,-,01-Jun-2007,"India: Krnataka, Bangalore, Hebbal",-
P012_WA01,SRR17213015,Deltocephalinae,Chiasmini,Doratura,Doraturina,homophyla,Christopher H. Dietrich,8.70%,8.60%,-,08-Aug-2018,"France: Corsica, Montans",-
P014_WA05,SRR17213014,Deltocephalinae,Chiasmini,Chiasmus,-,conspurcatus,Christopher H. Dietrich,3.00%,3.10%,-,12-Jun-2017,"Switzerland: Gordola, Reviscai, Riserva Bolle di Magadino",196m
P014_WB05,SRR17213013,Deltocephalinae,Chiasmini,Driotura,-,robusta,Christopher H. Dietrich,4.60%,4.50%,-,20-Apr-2005,"USA: California, Modoc County, long-Damon Dire 1996, hwy 139 4.8 mi S jct Rt. 10",1365m
P014_WC05,SRR17213012,Deltocephalinae,Chiasmini,Icaia,-,laoroya,James N. Zahniser,9.90%,9.90%,-,17-Oct-2002,"Peru: Junin, 42 km NE La Oroya",4000m
P014_WC06,SRR17213011,Deltocephalinae,Chiasmini,Exitianus,-,distanti,James N. Zahniser,12.00%,11.90%,-,17-Jan-2004,"Rwanda: Rukara Dist., Kawangure; Lake Mubazi",-
P014_WC07,SRR17213010,Deltocephalinae,Chiasmini,Icaia,-,straminea,James N. Zahniser,9.60%,9.60%,-,28-Oct-2002,Peru: Huanuco 13 km S Ambo,2350m
P014_WC08,SRR17213008,Deltocephalinae,Chiasmini,Athysanella,Amphipyga,turgida,James N. Zahniser,8.80%,8.80%,-,26-Apr-1998,"USA: California, San Bernardino County, 2.5 mi NW Cima",1372m
P014_WC09,SRR17213007,Deltocephalinae,Chiasmini,Exitianus,-,excavatus,James N. Zahniser,7.70%,7.70%,-,18-Oct-2005,"Mexico: DF, Rt. 95 km 41 S. Mexico City",2970m
P014_WC10,SRR17213006,Deltocephalinae,Chiasmini,Exitianus,-,picatus,James N. Zahniser,5.80%,5.80%,-,27-Oct-2005,"Mexico, Durango, Rt. 45 km 100 ca. San Juan del Rio",1820m
P014_WC11,SRR17213005,Deltocephalinae,Chiasmini,Exitianus,-,quadratulus,James N. Zahniser,5.80%,5.70%,-,31-May-1996,"Brasil: Goias, Uruacu",-
P014_WC12,SRR17213004,Deltocephalinae,Chiasmini,Athysanella,Diphipyga,triodana,James N. Zahniser,5.90%,5.90%,-,29-Oct-2005,"Mexico, Coahuila, Rt. 57 km 33 ca. Las Encinas",1150m
P014_WD01,SRR17213003,Deltocephalinae,Chiasmini,Aconurella,-,ussurica,James N. Zahniser,6.10%,6.10%,-,10-July-2005,"Mongolia: Bulgan, Teshig, Wetland near confluence of Tariakhtain Gol and Egiin Gol",936m
P014_WD02,SRR17213002,Deltocephalinae,Chiasmini,Nephotettix,-,virescens,James N. Zahniser,4.70%,4.60%,-,24-Sep-2005/25-Sep-2005,"India: Goa, Sanguem District, Boundry Bhagwan Mahaveer Sanctury",-
P014_WD03,SRR17213001,Deltocephalinae,Chiasmini,Exitianus,-,indicus,James N. Zahniser,7.30%,7.30%,-,24-Sep-2005/25-Sep-2005,"India: Goa, Sanguem District, Boundry Bhagwan Mahaveer Sanctury",-
P015_WE09,SRR17213000,Deltocephalinae,Chiasmini,Exitianus,-,apophysisiosus,James N. Zahniser,7.80%,7.70%,-,22-Jan-2001/09-Mar-2001,"Madagascar: Toamasina Prov., 7 km SE of Andasibe National Park head-quarters",-
P015_WG08,SRR17212999,Deltocephalinae,Chiasmini,Exitianus,-,nanus,James N. Zahniser,7.10%,7.10%,-,04-Jun-2004 ,"China: Taiwan, Taichung",-
P005_WH11,SRR17213367,Deltocephalinae,Deltocephalini,Alobaldia,-,tobae,Christopher H. Dietrich,5.60%,5.50%,-,21-Oct-2011,"China: Shaanxi, Yangling, Northwest A&F University Campus",-
P001_WH08,SRR17213366,Deltocephalinae,Deltocephalini,Bolarga,-,nigriloba,Christopher H. Dietrich,5.00%,5.00%,-,16-Feb-2014,"Argentina: Entre Rios, Rt. 14 5 km N Guayaguaychu",-
