Row Sort,Column Sort,RAPiD Genomics Sample Code,Unique Client Code,Ct value,Assembly quality,# phyt_protein-coding genes,,# phyt_barcode_gene,,# other_phyt_gene,,# plant_barcode_gene,,RAPiD Genomics Lab Use ONLYConcentration (ng / uL),RAPiD Genomics Lab Use ONLYTotal DNA (ng),Concentration (ng / uL),Volume (uL),ul,eluition,16Sr assignment,Tuf,SecA,SecY,rpIV-rpsC,groEl,amp gene,other rp,Dnak,ffh,ftsY,GroES,GrpE,imp,yidC,vmp,Subfamily,Tribe,subtribe,Genus,species,Country,,,,,,,,,
51,21,ILL_137402_P001_WE03,46-38.1,31.54,bad,6,3,1,2,3,2,2,50,0.464337907,16.25182674,1,35,,,16SrVI,,,,,,,,,,,,,,,,Deltocephalinae,Scaphoideini,,New Genus MG5,n. sp. 1,"MADAGASCAR  Mahajanga
Alaotra  Mangoro  Region,
Mitsinjo Reserve  22 km  SE
of Andasibe village
el 760m     Dec 22-27,  2015
18° 55' 03” S    48° 25’ 50”  E
California Acad. of  Sciences
colls:  M.Irwin,   R.Harin'Hala
malaise trap     in low altitude 
rain forest              MG-68-34",,,,,,,,,
52,29,ILL_137402_P001_WE04,46-39.1,34.41,bad,5,3,1,2,2,2,2,50,1.452615255,50.84153393,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,37,ILL_137402_P001_WE05,46-61.1,28.45,bad,27,15,2,5,23,17,2,50,10.02644693,350.9256426,1,35,,,16SrV,,,V,,,,rpIP,,,,,,,,,Deltocephalinae,Scaphoideini,,Scaphomonus,n. sp. T1,THAILAND Chiang Mai   Doi Chiang Dao WS Nature trail  19º24.278'N98º55.311'E 491mMalaise trap 3-10.iii.2008Songkran & Apichart leg. T3155,,,,,,,,,
54,45,ILL_137402_P001_WE06,38-36.1,34.65,bad,15,8,0,0,13,10,2,50,11.51937654,403.178179,1,35,,,16SrXIV,,,,,,,,,,,,,,,,Eurymelinae,Megipocerini,,Chunra,n. sp. PH1,Philippines,,,,,,,,,
55,53,ILL_137402_P001_WE07,LH 143.2,17.36,good,146,81,19,44,125,94,2,50,14.44215423,505.4753982,1,35,,,16SrXIV,oBa,XI,V,V,XIV,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Paralimnini,Paralimnina,Acharis,ussuriensis,,,,,,,,,,
56,61,ILL_137402_P001_WE08,LH 143.4,,good,157,87,21,49,133,100,3,75,2.146512117,75.12792409,1,35,,,,oBA,I,V,V,I,16SrI-C,16SrI,16SrI,16SrXI,16SrI,16SrI,,16SrI,,,Deltocephalinae,Paralimnini,Paralimnina,Acharis,ussuriensis,,,,,,,,,,
57,69,ILL_137402_P001_WE09,LH 143.5,,good,144,80,18,42,123,92,3,75,2.188566472,76.59982653,1,35,,,16SrXIV-E,oBa,XI,XI,V,XIV,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Paralimnini,Paralimnina,Acharis,ussuriensis,,,,,,,,,,
58,77,ILL_137402_P001_WE10,35-14.2,23.7,good,153,85,19,44,132,99,2,50,4.985181097,174.4813384,1,35,,,,I,I,I,I,I,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Macrostelini,,Dalbulus,elimatus,Brazil,"Paraná, PN Iguaçú, Rio Iguaçú, Prasa Santos Dumont

25º41’33.5”S 54º26’03.1”W

188 m 8 Nov 2012 P. Avelino-Capistrano, panobranco",,,,,,,,
59,85,ILL_137402_P001_WE11,30-14.1,33.58,bad,13,7,3,7,8,6,2,50,9.285238921,324.9833622,1,35,,,,,algae,,,,,rpIB,,,,,,,,,Deltocephalinae,Opsiini,Circuliferina,Dixianus,utahnus,"USA. Arizona Cochise Co; Bisbee 1429 Franklie Street; Malaise trap 1585m AS Menke; 17-23.vi.2013 31°24'23""N 109°55'57""W",,,,,,,,,
60,93,ILL_137402_P001_WE12,7-9.1,27.79,good,107,59,16,37,88,66,3,75,24.91368869,871.9791042,1,35,,,16SrI-B,I,I,I,I,I,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Scaphoideini,,Amimenus,mojiensis,"CHINA Shaanxi Vac Wei Cong 8km ENE Chenhexiang 33.98133N 108.16384E 660m July 12, 2012",,,,,,,,,
